name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
fibonacci,gpp,1,45,212,3.934,0,0,%,3.934
fibonacci,gpp,1,46,212,6.171,0,0,%,6.171
fibonacci,gpp,1,47,212,9.970,0,0,%,9.971
fibonacci,gpp,1,45,212,3.968,0,0,%,3.968
fibonacci,gpp,1,45,212,3.809,0,0,%,3.809
fibonacci,gpp,1,45,212,3.834,0,0,%,3.834
fibonacci,gpp,1,45,212,3.761,0,0,%,3.762
fibonacci,gpp,1,46,212,6.132,0,0,%,6.132
fibonacci,gpp,1,46,212,6.121,0,0,%,6.121
fibonacci,gpp,1,46,212,6.079,0,0,%,6.079
fibonacci,gpp,1,46,212,6.125,0,0,%,6.125
fibonacci,gpp,1,47,212,9.966,0,0,%,9.966
fibonacci,gpp,1,47,212,9.818,0,0,%,9.818
fibonacci,gpp,1,47,212,9.963,0,0,%,9.963
fibonacci,gpp,1,47,212,9.961,0,0,%,9.961
fibonacci,java,1,45,219,4.980,0,0,%,4.955
fibonacci,java,1,46,219,7.974,0,0,%,7.946
fibonacci,java,1,47,219,13.692,0,0,%,13.669
fibonacci,java,1,45,219,5.600,0,0,%,5.581
fibonacci,java,1,45,219,5.568,0,0,%,5.542
fibonacci,java,1,45,219,5.504,0,0,%,5.481
fibonacci,java,1,45,219,5.465,0,0,%,5.445
fibonacci,java,1,46,219,9.047,0,0,%,9.024
fibonacci,java,1,46,219,8.832,0,0,%,8.811
fibonacci,java,1,46,219,8.857,0,0,%,8.830
fibonacci,java,1,46,219,9.032,0,0,%,9.010
fibonacci,java,1,47,219,14.469,0,0,%,14.445
fibonacci,java,1,47,219,14.588,0,0,%,14.562
fibonacci,java,1,47,219,14.605,0,0,%,14.582
fibonacci,java,1,47,219,14.827,0,0,%,14.798
fibonacci,rs,1,45,283,5.714,0,0,%,5.714
fibonacci,rs,1,46,283,9.276,0,0,%,9.276
fibonacci,rs,1,47,283,15.174,0,0,%,15.174
fibonacci,rs,1,45,283,5.807,0,0,%,5.807
fibonacci,rs,1,45,283,5.740,0,0,%,5.740
fibonacci,rs,1,45,283,5.823,0,0,%,5.823
fibonacci,rs,1,45,283,5.859,0,0,%,5.859
fibonacci,rs,1,46,283,9.396,0,0,%,9.396
fibonacci,rs,1,46,283,9.810,0,0,%,9.810
fibonacci,rs,1,46,283,9.693,0,0,%,9.693
fibonacci,rs,1,46,283,9.659,0,0,%,9.659
fibonacci,rs,1,47,283,16.510,0,0,%,16.510
fibonacci,rs,1,47,283,16.085,0,0,%,16.086
fibonacci,rs,1,47,283,15.238,0,0,%,15.238
fibonacci,rs,1,47,283,15.827,0,0,%,15.826
floydwarshall,rs,1,1000,352,1.892,0,0,%,1.893
floydwarshall,rs,1,1500,352,6.349,0,0,%,6.349
floydwarshall,rs,1,2000,352,14.830,0,0,%,14.831
floydwarshall,rs,1,2000,352,14.830,0,0,%,14.831
floydwarshall,rs,1,1000,352,1.862,0,0,%,1.863
floydwarshall,rs,1,1000,352,1.797,0,0,%,1.798
floydwarshall,rs,1,1000,352,1.818,0,0,%,1.819
floydwarshall,rs,1,1000,352,1.786,0,0,%,1.787
floydwarshall,rs,1,1500,352,6.290,0,0,%,6.291
floydwarshall,rs,1,1500,352,6.224,0,0,%,6.224
floydwarshall,rs,1,1500,352,6.212,0,0,%,6.213
floydwarshall,rs,1,1500,352,6.217,0,0,%,6.218
floydwarshall,rs,1,2000,352,14.409,0,0,%,14.409
floydwarshall,rs,1,2000,352,14.363,0,0,%,14.362
floydwarshall,rs,1,2000,352,14.506,0,0,%,14.505
floydwarshall,rs,1,2000,352,14.722,0,0,%,14.722
floydwarshall,java,1,1000,514,3.616,0,0,%,3.136
floydwarshall,java,1,1500,514,10.201,0,0,%,9.810
floydwarshall,java,1,2000,514,23.311,0,0,%,22.879
floydwarshall,java,1,2000,514,23.311,0,0,%,22.879
floydwarshall,java,1,1000,514,3.645,0,0,%,3.139
floydwarshall,java,1,1000,514,3.568,0,0,%,3.073
floydwarshall,java,1,1000,514,3.630,0,0,%,3.129
floydwarshall,java,1,1000,514,3.461,0,0,%,3.063
floydwarshall,java,1,1500,514,10.232,0,0,%,9.834
floydwarshall,java,1,1500,514,10.255,0,0,%,9.802
floydwarshall,java,1,1500,514,10.227,0,0,%,9.825
floydwarshall,java,1,1500,514,10.205,0,0,%,9.796
floydwarshall,java,1,2000,514,23.223,0,0,%,22.820
floydwarshall,java,1,2000,514,23.369,0,0,%,22.965
floydwarshall,java,1,2000,514,23.357,0,0,%,22.954
floydwarshall,java,1,2000,514,23.331,0,0,%,22.893
floydwarshall,gpp,1,1000,320,0.924,0,0,%,0.925
floydwarshall,gpp,1,1500,320,3.181,0,0,%,3.181
floydwarshall,gpp,1,2000,320,7.135,0,0,%,7.135
floydwarshall,gpp,1,2000,320,7.135,0,0,%,7.135
floydwarshall,gpp,1,1000,320,0.942,0,0,%,0.943
floydwarshall,gpp,1,1000,320,1.040,0,0,%,1.041
floydwarshall,gpp,1,1000,320,0.945,0,0,%,0.946
floydwarshall,gpp,1,1000,320,0.959,0,0,%,0.960
floydwarshall,gpp,1,1500,320,3.116,0,0,%,3.116
floydwarshall,gpp,1,1500,320,3.120,0,0,%,3.121
floydwarshall,gpp,1,1500,320,3.122,0,0,%,3.123
floydwarshall,gpp,1,1500,320,3.126,0,0,%,3.126
floydwarshall,gpp,1,2000,320,7.184,0,0,%,7.184
floydwarshall,gpp,1,2000,320,7.327,0,0,%,7.328
floydwarshall,gpp,1,2000,320,7.095,0,0,%,7.096
floydwarshall,gpp,1,2000,320,7.094,0,0,%,7.094
quicksort,java,1,20000000,555,14.632,0,0,%,5.850
quicksort,java,1,20000000,555,15.157,0,0,%,6.046
quicksort,java,1,20000000,555,14.849,0,0,%,5.984
quicksort,java,1,20000000,555,15.070,0,0,%,6.102
quicksort,java,1,20000000,555,15.147,0,0,%,6.107
quicksort,gpp,1,20000000,508,4.977,0,0,%,4.978
quicksort,gpp,1,20000000,508,5.122,0,0,%,5.122
quicksort,gpp,1,20000000,508,5.072,0,0,%,5.072
quicksort,gpp,1,20000000,508,5.214,0,0,%,5.215
quicksort,gpp,1,20000000,508,5.189,0,0,%,5.190
quicksort,rs,1,20000000,481,3.572,0,0,%,3.573
quicksort,rs,1,20000000,481,3.541,0,0,%,3.541
quicksort,rs,1,20000000,481,3.531,0,0,%,3.531
quicksort,rs,1,20000000,481,3.560,0,0,%,3.561
quicksort,rs,1,20000000,481,3.515,0,0,%,3.515
